Restaurant Name,Location,Contact Number/s,Restaurant Type,Rating,Cuisines Available,Most Liked Dishes,Table Booking Facility?
Desipun,Koramangala 5th Block,+91 9108182190,Casual Dining,4.2 /5,North Indian,"Paneer Tikka Masala, Buttermilk, Lassi, Soya Chaap, Aloo Paratha, Panneer Butter Masala, Stuffed Naan",Yes
The Flying Trapeze,Koramangala 5th Block,080 49652426,Lounge,0/5,"North Indian, Continental, Chinese",Beef Nachos,Yes
Sherlock's Pub,Koramangala 5th Block,+91 8884445642,"Pub, Casual Dining",3.9 /5,"Continental, North Indian, Chinese","Mai Thai, Cocktails, Tiramisu Martini, Beer, Chilli Chicken, Beef Chilli, Long Island Iced Tea",Yes
Little Lucknow,Koramangala 5th Block,+91 7259259888,Casual Dining,4.0 /5,"Mughlai, North Indian","Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken",Yes
The Bier Library,Koramangala 6th Block,080 49652559,"Microbrewery, Casual Dining",4.3 /5,"Continental, North Indian, Pizza, BBQ","Beer, Pizza, Mocktails, Pasta, Rasmalai, Cocktails, Brownie",Yes
Bombay Adda,Koramangala 7th Block,080 49653211,"Casual Dining, Bar",4.4 /5,Modern Indian,"Nachos, Cocktails, Nasi Goreng, Chicken Tikka, Pav Bhaji Fondue, Tiramisu, Samosa",Yes
Fenny's Lounge And Kitchen,Koramangala 7th Block,080 49653085,"Bar, Casual Dining",4.6 /5,"Mediterranean, Pizza, Continental, Seafood, Salad","Caramel Pudding, Cocktails, Pizza, Mocktails, Wedges, Bbq Chicken, Veg Starter",Yes
Prost Brew Pub,Koramangala 4th Block,080 49653036,"Pub, Microbrewery",4.5 /5,"American, Continental, North Indian, Salad","Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs",Yes
The Fixx,Koramangala 4th Block,080 49652858,"Casual Dining, Bar",4.3 /5,"Continental, South Indian, Italian, North Indian, Chinese","Cocktails, Shakshouka, Beer, Margherita Pizza, Blueberry Cheesecake, Fries, Bellini",Yes
Foxtrot - House of Subculture,Koramangala 3rd Block,080 49652660,"Cafe, Lounge",4.4 /5,"Cafe, American, Asian, North Indian","Cocktails, Fish, Mocktails, Momos, Burgers, Pizza, Chicken Lollipop",Yes
Barbeque Nation,Koramangala 1st Block,+91 8860216060,Casual Dining,4.7 /5,"North Indian, European, Mediterranean, BBQ, Kebab","Cocktails, Mutton Seekh, Tangdi Chicken, Mango Ice Cream, Biryani, Malai Kulfi, Fish",Yes
Roots,Koramangala 1st Block,080 49653573,"Casual Dining, Bar",4.5 /5,"North Indian, South Indian, Chinese, Continental, Mangalorean","Kadhai Murgh, Coffee Toffee, Pasta, Tandoori Chicken, Dum Aloo, Tandoori Pomfret, Butter Chicken",Yes
The Terrace at Gilly's Redefined,Koramangala 4th Block,080 45128809,"Microbrewery, Casual Dining",4.6 /5,"Continental, Finger Food, Asian, North Indian","Cocktails, Beer, Mocktails, Biryani, Long Island Iced Tea, Pizza, Drunken Prawn",Yes
Nasi And Mee,Koramangala 4th Block,080 49653462,Casual Dining,4.4 /5,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos","Salads, Shitake Mushrooms, Noodles, Dumplings, Nasi Goreng, Crispy Corn, Vegetarian",Yes
Myu Bar at Gilly's Redefined,Koramangala 4th Block,080 49653043,"Microbrewery, Bar",4.5 /5,"American, North Indian, Pizza, Finger Food, Continental, Italian","Mai Thai, Sangria, Pizza, Cocktails, Biryani, Beer, Chicken Nachos",Yes
Sotally Tober,Koramangala 4th Block,080 49652998,"Bar, Casual Dining",4.4 /5,"Asian, Burger, Pizza, Chinese, Finger Food","Cocktails, Barbeque Chicken Pizza, Chocolate Martini, Nachos, Bbq Chicken Pizza, Wedges, Beer",Yes
1522 - The Pub,Koramangala 4th Block,080 49652895,Pub,4.2 /5,"Chinese, Continental, North Indian","Cocktails, Devils Chicken, Beer, Tandoori Chicken, Pasta, Pinacolada, Pizza",Yes
The Old Fashioned Bar,Koramangala 6th Block,080 49652711,Bar,4.5 /5,"Finger Food, North Indian, Continental","Cocktails, Long Island Iced Tea, Draught Beer, Masala Peanuts, Pizza, Mocktails, Chicken Tikka",Yes
B-hive,Koramangala 1st Block,080 49652932,Pub,4.3 /5,"Finger Food, North Indian","Tandoori Chicken, Cocktails, Noodles, Paneer Tikka, Beer, Nachos, Pasta",Yes
The Beer Cafe,Koramangala 4th Block,+91 8929188568,Pub,4.2 /5,"Finger Food, Chinese, Italian, Burger","Beer, Chilli Chicken, Pizza, Paneer Tikka, Cocktails, Nachos, Mocktails",Yes
Cheers Pub Bar & Restro,Koramangala 4th Block,080 49653176,"Pub, Bar",0/5,"Continental, Finger Food, Pizza, North Indian, Bar Food","Cocktails, Brownie, Verdure Pizza, Veg Bao, Fish, Spaghetti, Mai Thai",Yes
Mr. Beans - Home Cafe,Koramangala 3rd Block,080 49653320,Cafe,4.2 /5,"Cafe, Continental, Italian","Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes",Yes
Pot-O-Noodles,Koramangala 4th Block,+91 9686192617,Casual Dining,4.3 /5,"Chinese, Asian, Japanese","Noodles, Mocktails, Miso Soup, Chilli Ramen, Chicken Grill, Gyoza, Steamed Rice",Yes
Via Milano,Koramangala 4th Block,+91 8041309997,Casual Dining,4.2 /5,"Salad, Italian, Desserts, Pizza","Pasta, Pizza, Steak, Mojito, Salads, Tiramisu, Sea Food",Yes
Nandhana Palace,Koramangala 4th Block,080 49652924,"Casual Dining, Bar",4.1 /5,"Andhra, Biryani, North Indian, Chinese","Supreme Chicken Biryani, Chicken Curry, Curd Rice, Chilli Chicken, Veg Thali, Lime Soda, Mutton Bone Soup",Yes
Carrots,Koramangala 6th Block,080 41172812,Casual Dining,4.1 /5,"Italian, North Indian, Healthy Food, Desserts","Pizza, Pasta, Salads, Masala Chai, Soya Buttermilk, Burgers, Chocolate Icecreams",Yes
Magnolia,Koramangala 3rd Block,080 41102222,Casual Dining,4.1 /5,"Chinese, Thai, Asian","Noodles, Pinacolada, Mocktails, Salad, Thai Green Curry, Spicy Crabmeat Soup, Clear Soup",Yes
Tangerine - Davanam Sarovar Portico Suites,Koramangala 2nd Block,080 49652825,Casual Dining,4.0 /5,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese","Breakfast Buffet, Sushi, Cheesecake, Gulab Jamun, Lunch Buffet, Fish, Noodles",Yes
Sathya's,Koramangala 3rd Block,080 41317571,Bar,4.1 /5,"North Indian, Chinese","Chicken Tikka, Egg Chilli, Masala Peanuts, Beer, Pepper Chicken, Chilli Chicken, Masala Papad",Yes
PagalKhana,Koramangala 4th Block,+91 7899075625,Casual Dining,3.9 /5,"Continental, Chinese, Fast Food, Beverages","Mocktails, Pasta, Wood Fire Pizza, Paneer Malai Tikka, French Fries, Nachos, Burgers",Yes
154 Breakfast Club,Koramangala 3rd Block,080 25533133,Cafe,4.0 /5,"Cafe, Continental","Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette",Yes
154 Breakfast Club,Koramangala 3rd Block,080 25533133,Cafe,4.0 /5,"Cafe, Continental","Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette",Yes
JukeBox,Koramangala 7th Block,080 41216430,"Casual Dining, Bar",3.9 /5,"Continental, Parsi, Chinese, North Indian, Italian, Steak","Mutton Dhansak, Steak, Chips, Lasagne, Mashed Potato, Draught Beer, Beef Stroganoff",Yes
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,+91 9591989862,Bar,3.9 /5,"Finger Food, North Indian, Chinese","Beer, Biryani, Cocktails, Masala Peanuts, Chicken Tikka, Chips, Fish",Yes
Banana Beach Bar,Koramangala 6th Block,080 49652918,Bar,3.7 /5,"Continental, Chinese","Chicken Wings, Cocktails, Mocktails, Chilli Chicken, Noodles, Burgers, Spring Roll",Yes
Helloo Delhi,Koramangala 4th Block,080 49653090,Casual Dining,4.1 /5,North Indian,"Rasmalai, Murgh Lababdar, Kadai Paneer, Dal Makhani, Fish, Jal-jeera, Lassi",Yes
Mudpipe Cafe,BTM,+91 9631220007,Cafe,4.5 /5,"Cafe, Continental, Burger","Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta",Yes
Zero Mile Punjab,HSR,+91 9986785586,Casual Dining,4.1 /5,"North Indian, Mughlai","Lassi, Chicken Curry, Chicken Malai Tikka, Butter Chicken, Panner Tikka, Butter Naan, Murgh Makhni",Yes
Pecos Hideout,BTM,+91 7259166661,Bar,4.0 /5,Finger Food,"Chicken Steak, Beer, Beef Steak, Cheese Nachos, Honey Chilli Potatoes, French Fries, Masala Peanuts",Yes
El Salver,BTM,+91 9916802277,Casual Dining,3.9 /5,"North Indian, Chinese, South Indian",Fish Curry,Yes
Fogg,BTM,+91 9148788860,Casual Dining,0/5,"Continental, Italian, Beverages","Pizza, Mocktails",Yes
Drava,Koramangala 5th Block,080 49653135,Lounge,4.3 /5,"Pizza, Continental, North Indian, Asian","Cocktails, Veg Burger, Tikka, Beer, Pizza, Burgers, Spaghetti Aglio Olio",Yes
The Boozy Griffin,Koramangala 5th Block,080 33512954,"Casual Dining, Pub",4.6 /5,"European, Continental","Cocktails, Craft Beer, Salads, Devils Chicken, Sea Food, Mocktails, Wedges",Yes
Gilly's Restobar,Koramangala 5th Block,080 45128795,"Pub, Casual Dining",4.5 /5,"Finger Food, Continental, North Indian","Thai Crispy Chicken, Mojito, Watermelon Martini, Chicken Biryani, Beef Fry, Cocktails, Calamari",Yes
XOOX Brewmill,Koramangala 5th Block,080 49652469,"Microbrewery, Casual Dining",4.4 /5,"Modern Indian, European, Asian","Cocktails, Apple Cider, Craft Beer, Burgers, Stout, Seafood Salad, Sabudana Vada",Yes
Biergarten,Koramangala 5th Block,080 49653208,"Pub, Microbrewery",4.8 /5,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian","Penne Arrabiata Pasta, Craft Beer, Bruschettas, Cocktails, Peri Peri Chicken, Pizza, Mocktails",Yes
House Of Commons,Koramangala 5th Block,080 45128604,Bar,4.7 /5,"Continental, Asian, North Indian","Cocktails, Chaap, Tandoori Chicken, Mocktails, Beer, Ghee Roast Mutton, Martini",Yes
Simon Says Brew Works,Koramangala 5th Block,080 49653390,"Microbrewery, Casual Dining",4.5 /5,"Continental, American, Italian, Modern Indian, Pizza, Burger","Beer, Onion Pakoda, Long Island Iced Tea, Peri Peri Chicken, Cocktails, Stout, Veg Platter",Yes
What's In A Name,Koramangala 5th Block,080 49652465,Pub,4.1 /5,"Finger Food, Asian, European, Italian","Cocktails, Chicken Nachos, Pizza, Peri Peri Fries, Hush Puppies, Beer, Tiramisu",Yes
Bulls N Bears - Bar Trade Xchange,Koramangala 5th Block,080 45128627,"Pub, Bar",3.9 /5,"Finger Food, North Indian, Continental, Pizza","Pizza, Mango Cheesecake, Beer, Mocktails, Crispy Water Chestnuts, Cosmopolitan, Prawn",Yes
The Flying Trapeze,Koramangala 5th Block,080 49652426,Lounge,0/5,"North Indian, Continental, Chinese",Beef Nachos,Yes
Sherlock's Pub,Koramangala 5th Block,+91 8884445642,"Pub, Casual Dining",3.9 /5,"Continental, North Indian, Chinese","Mai Thai, Cocktails, Tiramisu Martini, Beer, Chilli Chicken, Beef Chilli, Long Island Iced Tea",Yes
The Bier Library,Koramangala 6th Block,080 49652559,"Microbrewery, Casual Dining",4.3 /5,"Continental, North Indian, Pizza, BBQ","Beer, Pizza, Mocktails, Pasta, Rasmalai, Cocktails, Brownie",Yes
Bombay Adda,Koramangala 7th Block,080 49653211,"Casual Dining, Bar",4.4 /5,Modern Indian,"Nachos, Cocktails, Nasi Goreng, Chicken Tikka, Pav Bhaji Fondue, Tiramisu, Samosa",Yes
Fenny's Lounge And Kitchen,Koramangala 7th Block,080 49653085,"Bar, Casual Dining",4.5 /5,"Mediterranean, Pizza, Continental, Seafood, Salad","Caramel Pudding, Cocktails, Pizza, Mocktails, Wedges, Bbq Chicken, Veg Starter",Yes
Prost Brew Pub,Koramangala 4th Block,080 49653036,"Pub, Microbrewery",4.5 /5,"American, Continental, North Indian, Salad","Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs",Yes
The Fixx,Koramangala 4th Block,080 49652858,"Casual Dining, Bar",4.3 /5,"Continental, South Indian, Italian, North Indian, Chinese","Cocktails, Shakshouka, Beer, Margherita Pizza, Blueberry Cheesecake, Fries, Bellini",Yes
Foxtrot - House of Subculture,Koramangala 3rd Block,080 49652660,"Cafe, Lounge",4.4 /5,"Cafe, American, Asian, North Indian","Cocktails, Fish, Mocktails, Momos, Burgers, Pizza, Chicken Lollipop",Yes
The Terrace at Gilly's Redefined,Koramangala 4th Block,080 45128809,"Microbrewery, Casual Dining",4.6 /5,"Continental, Finger Food, Asian, North Indian","Cocktails, Beer, Mocktails, Biryani, Long Island Iced Tea, Pizza, Drunken Prawn",Yes
Myu Bar at Gilly's Redefined,Koramangala 4th Block,080 49653043,"Microbrewery, Bar",4.4 /5,"American, North Indian, Pizza, Finger Food, Continental, Italian","Mai Thai, Sangria, Pizza, Cocktails, Biryani, Beer, Chicken Nachos",Yes
Sotally Tober,Koramangala 4th Block,080 49652998,"Bar, Casual Dining",4.4 /5,"Asian, Burger, Pizza, Chinese, Finger Food","Cocktails, Barbeque Chicken Pizza, Chocolate Martini, Nachos, Bbq Chicken Pizza, Wedges, Beer",Yes
1522 - The Pub,Koramangala 4th Block,080 49652895,Pub,4.2 /5,"Chinese, Continental, North Indian","Cocktails, Devils Chicken, Beer, Tandoori Chicken, Pasta, Pinacolada, Pizza",Yes
The Old Fashioned Bar,Koramangala 6th Block,080 49652711,Bar,4.5 /5,"Finger Food, North Indian, Continental","Cocktails, Long Island Iced Tea, Draught Beer, Masala Peanuts, Pizza, Mocktails, Chicken Tikka",Yes
B-hive,Koramangala 1st Block,080 49652932,Pub,4.3 /5,"Finger Food, North Indian","Tandoori Chicken, Cocktails, Noodles, Paneer Tikka, Beer, Nachos, Pasta",Yes
The Beer Cafe,Koramangala 4th Block,+91 8929188568,Pub,4.2 /5,"Finger Food, Chinese, Italian, Burger","Beer, Chilli Chicken, Pizza, Paneer Tikka, Cocktails, Nachos, Mocktails",Yes
Cheers Pub Bar & Restro,Koramangala 4th Block,080 49653176,"Pub, Bar",0/5,"Continental, Finger Food, Pizza, North Indian, Bar Food","Cocktails, Brownie, Verdure Pizza, Veg Bao, Fish, Spaghetti, Mai Thai",Yes
Sathya's,Koramangala 3rd Block,080 41317571,Bar,4.1 /5,"North Indian, Chinese","Chicken Tikka, Egg Chilli, Masala Peanuts, Beer, Pepper Chicken, Chilli Chicken, Masala Papad",Yes
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,+91 9591989862,Bar,3.9 /5,"Finger Food, North Indian, Chinese","Beer, Biryani, Cocktails, Masala Peanuts, Chicken Tikka, Chips, Fish",Yes
Banana Beach Bar,Koramangala 6th Block,080 49652918,Bar,3.7 /5,"Continental, Chinese","Chicken Wings, Cocktails, Mocktails, Chilli Chicken, Noodles, Burgers, Spring Roll",Yes
Pecos Hideout,BTM,+91 7259166661,Bar,4.0 /5,Finger Food,"Chicken Steak, Beer, Beef Steak, Cheese Nachos, Honey Chilli Potatoes, French Fries, Masala Peanuts",Yes
Biergarten,Koramangala 5th Block,080 49653208,"Pub, Microbrewery",4.8 /5,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian","Penne Arrabiata Pasta, Craft Beer, Bruschettas, Cocktails, Peri Peri Chicken, Pizza, Mocktails",Yes
House Of Commons,Koramangala 5th Block,080 45128604,Bar,4.7 /5,"Continental, Asian, North Indian","Cocktails, Chaap, Tandoori Chicken, Mocktails, Beer, Ghee Roast Mutton, Martini",Yes
The Black Pearl,Koramangala 5th Block,080 49652452,"Casual Dining, Bar",4.7 /5,"North Indian, European, Mediterranean","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry",Yes
Gilly's Restobar,Koramangala 5th Block,080 45128795,"Pub, Casual Dining",4.5 /5,"Finger Food, Continental, North Indian","Thai Crispy Chicken, Mojito, Watermelon Martini, Chicken Biryani, Beef Fry, Cocktails, Calamari",Yes
Buff Buffet Buff,Koramangala 5th Block,080 45128765,"Casual Dining, Bar",4.5 /5,"North Indian, Chinese, Continental, Thai, Salad","Egg Chilli, Butter Naan, Watermelon Juice, Chocolate Halwa, Fry Prawns, Mocktails, Salads",Yes
The Reservoire,Koramangala 5th Block,080 45128647,"Bar, Casual Dining",4.6 /5,"Continental, North Indian, Chinese, American","Cocktails, Bruschettas, Peppy Paneer Pizza, Beer, Caramel Custard, Peri Peri Wings, Wood Fire Pizza",Yes
Asia Kitchen By Mainland China,Koramangala 5th Block,080 49652573,"Casual Dining, Bar",4.9 /5,"Asian, Chinese, Thai, Momos","Noodles, Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup",Yes
The Boozy Griffin,Koramangala 5th Block,080 33512954,"Casual Dining, Pub",4.6 /5,"European, Continental","Cocktails, Craft Beer, Salads, Devils Chicken, Sea Food, Mocktails, Wedges",Yes
What's In A Name,Koramangala 5th Block,080 49652465,Pub,4.1 /5,"Finger Food, Asian, European, Italian","Cocktails, Chicken Nachos, Pizza, Peri Peri Fries, Hush Puppies, Beer, Tiramisu",Yes
Bulls N Bears - Bar Trade Xchange,Koramangala 5th Block,080 45128627,"Pub, Bar",3.9 /5,"Finger Food, North Indian, Continental, Pizza","Pizza, Mango Cheesecake, Beer, Mocktails, Crispy Water Chestnuts, Cosmopolitan, Prawn",Yes
Sherlock's Pub,Koramangala 5th Block,+91 8884445642,"Pub, Casual Dining",3.9 /5,"Continental, North Indian, Chinese","Mai Thai, Cocktails, Tiramisu Martini, Beer, Chilli Chicken, Beef Chilli, Long Island Iced Tea",Yes
Bombay Adda,Koramangala 7th Block,080 49653211,"Casual Dining, Bar",4.4 /5,Modern Indian,"Nachos, Cocktails, Nasi Goreng, Chicken Tikka, Pav Bhaji Fondue, Tiramisu, Samosa",Yes
Fenny's Lounge And Kitchen,Koramangala 7th Block,080 49653085,"Bar, Casual Dining",4.5 /5,"Mediterranean, Pizza, Continental, Seafood, Salad","Caramel Pudding, Cocktails, Pizza, Mocktails, Wedges, Bbq Chicken, Veg Starter",Yes
Prost Brew Pub,Koramangala 4th Block,080 49653036,"Pub, Microbrewery",4.5 /5,"American, Continental, North Indian, Salad","Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs",Yes
The Fixx,Koramangala 4th Block,080 49652858,"Casual Dining, Bar",4.3 /5,"Continental, South Indian, Italian, North Indian, Chinese","Cocktails, Shakshouka, Beer, Margherita Pizza, Blueberry Cheesecake, Fries, Bellini",Yes
Roots,Koramangala 1st Block,080 49653573,"Casual Dining, Bar",4.5 /5,"North Indian, South Indian, Chinese, Continental, Mangalorean","Kadhai Murgh, Coffee Toffee, Pasta, Tandoori Chicken, Dum Aloo, Tandoori Pomfret, Butter Chicken",Yes
Myu Bar at Gilly's Redefined,Koramangala 4th Block,080 49653043,"Microbrewery, Bar",4.4 /5,"American, North Indian, Pizza, Finger Food, Continental, Italian","Mai Thai, Sangria, Pizza, Cocktails, Biryani, Beer, Chicken Nachos",Yes
Sotally Tober,Koramangala 4th Block,080 49652998,"Bar, Casual Dining",4.4 /5,"Asian, Burger, Pizza, Chinese, Finger Food","Cocktails, Barbeque Chicken Pizza, Chocolate Martini, Nachos, Bbq Chicken Pizza, Wedges, Beer",Yes
1522 - The Pub,Koramangala 4th Block,080 49652895,Pub,4.2 /5,"Chinese, Continental, North Indian","Cocktails, Devils Chicken, Beer, Tandoori Chicken, Pasta, Pinacolada, Pizza",Yes
The Old Fashioned Bar,Koramangala 6th Block,080 49652711,Bar,4.5 /5,"Finger Food, North Indian, Continental","Cocktails, Long Island Iced Tea, Draught Beer, Masala Peanuts, Pizza, Mocktails, Chicken Tikka",Yes
B-hive,Koramangala 1st Block,080 49652932,Pub,4.3 /5,"Finger Food, North Indian","Tandoori Chicken, Cocktails, Noodles, Paneer Tikka, Beer, Nachos, Pasta",Yes
The Beer Cafe,Koramangala 4th Block,+91 8929188568,Pub,4.2 /5,"Finger Food, Chinese, Italian, Burger","Beer, Chilli Chicken, Pizza, Paneer Tikka, Cocktails, Nachos, Mocktails",Yes
Cheers Pub Bar & Restro,Koramangala 4th Block,080 49653176,"Pub, Bar",0/5,"Continental, Finger Food, Pizza, North Indian, Bar Food","Cocktails, Brownie, Verdure Pizza, Veg Bao, Fish, Spaghetti, Mai Thai",Yes
Nandhana Palace,Koramangala 4th Block,080 49652924,"Casual Dining, Bar",4.1 /5,"Andhra, Biryani, North Indian, Chinese","Supreme Chicken Biryani, Chicken Curry, Curd Rice, Chilli Chicken, Veg Thali, Lime Soda, Mutton Bone Soup",Yes
Sathya's,Koramangala 3rd Block,080 41317571,Bar,4.1 /5,"North Indian, Chinese","Chicken Tikka, Egg Chilli, Masala Peanuts, Beer, Pepper Chicken, Chilli Chicken, Masala Papad",Yes
JukeBox,Koramangala 7th Block,080 41216430,"Casual Dining, Bar",3.9 /5,"Continental, Parsi, Chinese, North Indian, Italian, Steak","Mutton Dhansak, Steak, Chips, Lasagne, Mashed Potato, Draught Beer, Beef Stroganoff",Yes
Fill N Chill Resto Bar & Pub,Koramangala 4th Block,+91 9591989862,Bar,3.9 /5,"Finger Food, North Indian, Chinese","Beer, Biryani, Cocktails, Masala Peanuts, Chicken Tikka, Chips, Fish",Yes
Banana Beach Bar,Koramangala 6th Block,080 49652918,Bar,3.7 /5,"Continental, Chinese","Chicken Wings, Cocktails, Mocktails, Chilli Chicken, Noodles, Burgers, Spring Roll",Yes
Pecos Hideout,BTM,+91 7259166661,Bar,4.0 /5,Finger Food,"Chicken Steak, Beer, Beef Steak, Cheese Nachos, Honey Chilli Potatoes, French Fries, Masala Peanuts",Yes
Sultans of Spice,Koramangala 5th Block,080 49652770,Casual Dining,4.5 /5,"North Indian, Mughlai, Salad","Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh",Yes
XOOX Brewmill,Koramangala 5th Block,080 49652469,"Microbrewery, Casual Dining",4.4 /5,"Modern Indian, European, Asian","Cocktails, Apple Cider, Craft Beer, Burgers, Stout, Seafood Salad, Sabudana Vada",Yes
The Black Pearl,Koramangala 5th Block,080 49652452,"Casual Dining, Bar",4.7 /5,"North Indian, European, Mediterranean","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry",Yes
Buff Buffet Buff,Koramangala 5th Block,080 45128765,"Casual Dining, Bar",4.5 /5,"North Indian, Chinese, Continental, Thai, Salad","Egg Chilli, Butter Naan, Watermelon Juice, Chocolate Halwa, Fry Prawns, Mocktails, Salads",Yes
Boho,Koramangala 5th Block,080 49653567,Casual Dining,4.2 /5,"Continental, Asian, American, North Indian, Desserts","Barbecue Chicken Wings, Cocktails, Chilli Paneer, Chicken Steak, Sangria, Pizza, Spicy Chicken",Yes
Asia Kitchen By Mainland China,Koramangala 5th Block,080 49652573,"Casual Dining, Bar",4.9 /5,"Asian, Chinese, Thai, Momos","Noodles, Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup",Yes
Bonsouth,Koramangala 5th Block,080 49652934,Casual Dining,4.2 /5,"Chettinad, Andhra, Kerala","Coconut Payassam, Seafood Soup, Fish, Filter Kaapi, Tender Coconut Payasam, Mutton Curry, Mysore Masala Dosa",Yes
Foxtrot - House of Subculture,Koramangala 3rd Block,080 49652660,"Cafe, Lounge",4.4 /5,"Cafe, American, Asian, North Indian","Cocktails, Fish, Mocktails, Momos, Burgers, Pizza, Chicken Lollipop",Yes
Hunan,Koramangala 5th Block,080 25520154,Casual Dining,4.3 /5,"Chinese, Thai, Momos","Noodles, Chicken Momo, Momos, Lunch Buffet, Garlic Butter Noodle, Crab Soup, Jasmine Tea",Yes
Magnolia,Koramangala 3rd Block,080 41102222,Casual Dining,4.1 /5,"Chinese, Thai, Asian","Noodles, Pinacolada, Mocktails, Salad, Thai Green Curry, Spicy Crabmeat Soup, Clear Soup",Yes
The Flying Trapeze,Koramangala 5th Block,080 49652426,Lounge,0/5,"North Indian, Continental, Chinese",Beef Nachos,Yes
Mr. Beans - Home Cafe,Koramangala 3rd Block,080 49653320,Cafe,4.2 /5,"Cafe, Continental, Italian","Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes",Yes
Hungry Hippie,Koramangala 5th Block,080 49653231,Cafe,4.3 /5,"Cafe, Continental, Italian, Burger","Butter Chicken Pizza, Lamb Burger, Chicken Bao, Vegetable Moussaka, Peri Chicken, Pasta, Pink Lemonade",Yes
Roundup Cafe,Koramangala 5th Block,080 49653438,Cafe,4.2 /5,"Cafe, Continental, Beverages","Mocktails, Salad, Coffee, Pizza, Meat Balls, Hot Chocolate, Pasta",Yes
Market Table,Koramangala 5th Block,080 49652848,Cafe,4.5 /5,"Cafe, Continental, Mediterranean, Beverages","Salads, Healthy Breakfast, Quinoa Salad, Frittata, Pancakes, Smoothie Chocolate, Wheat Roll",Yes
154 Breakfast Club,Koramangala 3rd Block,080 25533133,Cafe,4.0 /5,"Cafe, Continental","Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette",Yes
Cafe D'hide,Koramangala 5th Block,+91 7204196666,Cafe,4.2 /5,"Cafe, American, Continental, Italian","Pasta, Coffee, Buffalo Chicken Wings, Caesar Salad, Cheesy Fries, Mojito, Salads",Yes
Mudpipe Cafe,BTM,+91 9631220007,Cafe,4.5 /5,"Cafe, Continental, Burger","Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta",Yes
Zero Mile Punjab,HSR,+91 9986785586,Casual Dining,4.1 /5,"North Indian, Mughlai","Lassi, Chicken Curry, Chicken Malai Tikka, Butter Chicken, Panner Tikka, Butter Naan, Murgh Makhni",Yes
Bathinda Junction,Koramangala 5th Block,+91 9886101619,Casual Dining,4.1 /5,North Indian,"Butter Chicken, Kadhai Murgh, Rajma Chawal, Kadhai Paneer, Makke Ki Roti, Sweet Lassi, Dal Makhani",Yes
Little Lucknow,Koramangala 5th Block,+91 7259259888,Casual Dining,4.0 /5,"Mughlai, North Indian","Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken",Yes
Asia Kitchen By Mainland China,Koramangala 5th Block,080 49652573,"Casual Dining, Bar",4.9 /5,"Asian, Chinese, Thai, Momos","Noodles, Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup",Yes
El Salver,BTM,+91 9916802277,Casual Dining,3.9 /5,"North Indian, Chinese, South Indian",Fish Curry,Yes
Broadway - The Gourmet Theatre,HSR,080 49653479,Casual Dining,4.2 /5,"Japanese, North Indian, Italian, Korean, Mexican, Thai","Sushi, Cocktails, Mocktails, Bamboo Chicken Biryani, Coconut Soup, Pasta, Sea Food",Yes
Desipun,Koramangala 5th Block,+91 9108182190,Casual Dining,4.2 /5,North Indian,"Paneer Tikka Masala, Buttermilk, Lassi, Soya Chaap, Aloo Paratha, Panneer Butter Masala, Stuffed Naan",Yes
