name,online_order,book_table,rating,votes,phone,location,type,dish_liked,cuisines,approx_cost_two_people
Saffron Vegetarian Cuisine,Yes,Yes,4.0 /5,671,080 49653428,Banaswadi,Casual Dining,"Tikka, Biryani, Salad, Pasta, Masala Papad, Palak Paneer, Garlic Naan","North Indian, Continental, Chinese, Mexican, Italian",700
Marakachi,Yes,No,3.7 /5,82,+91 6363580486,Kalyan Nagar,Casual Dining,Biryani,Chettinad,600
Vera Italiano,Yes,No,4.1 /5,203,080 41523338,Kalyan Nagar,Casual Dining,"Pizza, Pasta, Tiramisu, Cheesecake, Tomato Soup, Carbonara, Chicken Lasagne",Italian,600
Hungry Vihaari,Yes,Yes,4.0 /5,47,080 49652653,Kalyan Nagar,Casual Dining,"Pizza, Pasta, Peri Peri Chicken Burger, Garlic Bread, Crispy Corn","Continental, Burger, Salad, Pizza, Beverages",800
China Pearl,Yes,No,4.1 /5,163,080 41323338,Kalyan Nagar,Casual Dining,"Chicken Manchow Soup, Hunan Chicken, Hakka Noodles, Momos, Mixed Fried Rice, Prawn, Spring Roll","Chinese, Momos","1,100"
Fiddler's Green,No,Yes,3.9 /5,75,080 25420706,Kalyan Nagar,"Casual Dining, Bar","Chicken Satay, Mocktails, Bruschettas","Continental, American, Indonesian, Asian, Thai","1,200"
Vijaya Gardenia,Yes,No,3.5 /5,67,080 49574999,Banaswadi,Casual Dining,"Naan, Sea Food, Biryani, Lime Soda","North Indian, Chinese, Andhra",500
Patio - The Resto Cafe,Yes,No,3.7 /5,75,+91 9980477430,Banaswadi,"Cafe, Quick Bites","Chicken Burger, Pasta, Hash Brown, Noodles","Cafe, Continental, Chinese, Momos",500
Agent Jack's Bar,No,Yes,4.0 /5,395,080 49653422,Kalyan Nagar,Bar,"Cocktails, Chicken Tikka Pizza, Chicken Popcorn, Chilli Pork, Sangria, Beer, Seafood Pizza","Continental, North Indian, Italian","1,300"
An Egg Story,No,No,4.0 /5,250,+91 9986031290,Kalyan Nagar,Cafe,"Healthy Breakfast, Burgers, Florentine Omelette, Banana Crepes, English Breakfast, Sandwiches, Chicken Burger","Cafe, Continental, American, Italian",600
Delicacy,Yes,Yes,4.1 /5,449,080 45128596,Kalyan Nagar,Casual Dining,"Noodles, Momos, Honey Chilli Potatoes, Wonton, Bbq Pork, Pork Momo, Chilli Basil Chicken","Chinese, Thai, Momos",500
Khyma Biryani,Yes,No,4.0 /5,249,080 48904210,Kalyan Nagar,Casual Dining,"Mutton Biryani, Lemon Tea, Chicken Dry Fry, Kerala Style Biryani, Malabari Biryani, Lemon Chicken, Biryani Combo",Biryani,600
Taste Of Nawaabs,Yes,No,3.6 /5,328,+91 7204399249,Banaswadi,Casual Dining,"Chicken Tikka, Garlic Naan, Mutton Rara, Roti","North Indian, Mughlai",600
Donne Biriyani Mane,Yes,No,3.6 /5,226,080 41313132,Kalyan Nagar,Quick Bites,Mutton Biryani,"Biryani, Kebab",400
Knowhere,No,No,3.9 /5,58,080 40911383,Banaswadi,Bar,Friendly Staff,"Continental, Finger Food","1,300"
Food Magic Restaurant,Yes,No,3.8 /5,88,080 49652643,Kalyan Nagar,Quick Bites,"Shawarma, Chicken Shawarama, Kerala Parotta, Lemon Tea, Fish, Ghee Rice, Appam","Kerala, North Indian, Chinese, Arabian",400
Mani's Dum Biryani,Yes,No,3.5 /5,122,+91 9606441699,Kalyan Nagar,Casual Dining,"Raita, Chicken Biryani","Biryani, Andhra",750
Amigos Kitchen,Yes,No,3.7 /5,66,+91 9148080422,Banaswadi,Quick Bites,"Murgh Patiala, Shawarma, Chicken Grill","Chinese, North Indian, Mexican, Fast Food",400
Noodles,Yes,No,3.8 /5,103,+91 8042098166,Banaswadi,Casual Dining,"Hakka Noodles, Pork Momo, Veg Momos, Chicken Manchurian, Chicken Momo, Chop Suey, Chilli Chicken","Chinese, Momos",500
The Sanctuary,No,No,3.9 /5,62,080 41245949,Banaswadi,Cafe,"Coffee, Chicken Burger, Burgers, Brownie, Carrot Cake, Chocolate Cake, Cheesecake","Cafe, Fast Food",450
Cafe Coffee Day,Yes,No,3.6 /5,57,+91 9341269567,Kalyan Nagar,Cafe,"Coffee, Garlic Bread",Cafe,650
Alibaba Cafe and Restaurant,No,No,2.9 /5,55,+91 9164442534,Kalyan Nagar,Casual Dining,"Biryani, Tea, Falafel, Hookah","Arabian, Middle Eastern",700
OvenTreats - Patisserie.Bistro,No,No,4.0 /5,82,+91 9886028118,Kalyan Nagar,Casual Dining,"Burgers, Chicken Steak, Cocktails, Beef Hash, Pork Ribs, French Toast",American,"1,000"
Chaai Resto,Yes,No,3.9 /5,97,+91 7411772466,Kalyan Nagar,Cafe,"Ginger Tea, Poha, Ginger Chai, Paratha, Chaai, Sandwiches, Elaichi Tea","Cafe, Fast Food, Beverages",350
Mavalli Tiffin Room (MTR),No,No,4.1 /5,208,+91 9886637825,Kalyan Nagar,Quick Bites,"Coffee, Rava Idli, Kesari Bath, Rava Masala Dosa, Thali, Badam Halwa, Vada",South Indian,250
K.G.N Kabbab Corner,No,No,4.0 /5,91,080 25458089,Kalyan Nagar,Quick Bites,"Mutton Biryani, Rolls, Chicken Roll","North Indian, Kebab",500
Kesar Sweet Shop And Fast Food,No,No,3.9 /5,54,+91 7338581113,Kalyan Nagar,Quick Bites,"Chole Bhature, Chaat, Jalebi, Kulfi, Rasgulla","North Indian, South Indian, Chinese, Street Food, Mithai",500
Kanthari,Yes,No,3.9 /5,95,080 48508667,Kalyan Nagar,Quick Bites,"Fish Fry, Chicken Curry, Duck Roast, Kerala Style Biryani","North Indian, Kerala, Chinese",400
Pooja Dosa Camp,No,No,4.0 /5,134,+91 8762385497,Banaswadi,Quick Bites,"Podi Dosa, Vada, Pongal, Ghee Dosa, Masala Dosa, Coffee",South Indian,200
Chaat Street,Yes,No,4.0 /5,498,080 42242288,Kalyan Nagar,Quick Bites,"Chaat, Pav Bhaji, Paratha, Lassi, Panipuri, Dahipuri, Bhel Puri","Street Food, North Indian",250
Donne Biryani Kuteera,Yes,No,3.8 /5,301,080 48663927,Banaswadi,Quick Bites,"Donne Biryani, Pepper Chicken",Biryani,200
Matru Sagar,Yes,No,4.0 /5,332,+91 9535442620,Kalyan Nagar,Quick Bites,"Vada, Butter Masala Dosa, Coffee","South Indian, North Indian, Chinese",300
Leon Grill,Yes,No,4.2 /5,398,080 43719453,Kalyan Nagar,Quick Bites,"Burgers, Fries, Jumbo Royale Burger, Salads, Peri Peri Chicken Salad, Potato Wedges, Rolls","Burger, Fast Food",500
Oye Hoye,Yes,No,3.8 /5,69,+91 7795070000,Kalyan Nagar,Quick Bites,"Paratha, Kheer, Thali, Roti, Rajma, Paneer Chatpata",North Indian,300
Upsouth,Yes,No,3.8 /5,59,080 23094083,Banaswadi,Food Court,"Filter Coffee, Sandwich, Bonda, Vada, Masala Dosa, Salad, Aloo Curry",South Indian,300
Srinidhi Upachar,No,No,3.6 /5,70,+91 8105714391,Banaswadi,Quick Bites,"Coffee, Vada, Masala Dosa, Gulab Jamun","South Indian, Chinese",200
American Bites,Yes,No,2.4 /5,48,+91 9741733234,Kalyan Nagar,Quick Bites,"Burgers, Chicken Fries, Hot Wings","Fast Food, Burger, Pizza",450
Cafe Nukkad,Yes,No,4.0 /5,91,+91 9880126148,Kalyan Nagar,Quick Bites,"Chicken Cheese Sandwich, Cheese Sandwiches, Chocolate Sandwich, Chocolate Sandwiches, French Fries, Teriyaki Chicken",Fast Food,200
Cake House - Story Cafe,No,No,3.8 /5,79,+91 8105395198,Kalyan Nagar,Quick Bites,"Coffee, Cheesecake, Sweet Potato Cake, Hot Chocolate, Sweet Potato Latte, Ramen, French Toast","Bakery, Desserts",650
Pizza Stop,Yes,No,3.8 /5,153,080 46640404,Banaswadi,Quick Bites,"Garlic Bread, Nachos, Pasta, Thin Crust Pizza, Hawaian Pizza, Manali Pizza","Pizza, Italian",500
Cafe 99 Kerala Mess,Yes,No,4.0 /5,154,00 08049555699,Kalyan Nagar,Quick Bites,"Tea, Coffee, Kadala Curry, Chicken Dum Biryani, Shawarma, Ghee Rice, Chicken Kebab","Kerala, Biryani, Seafood, North Indian",500
WOW! Momo,Yes,No,2.8 /5,40,+91 9513338220,Banaswadi,Food Court,"Veg Momos, Thukpa","Tibetan, Momos",400
Sri Devi Sagar,No,No,3.7 /5,161,+91 9986344200,Banaswadi,Quick Bites,Masala Dosa,"South Indian, North Indian, Chinese, Street Food",300
Chetty's Coffee,No,No,3.5 /5,87,+91 9986488450,Kalyan Nagar,Quick Bites,"Masala Dosa, Caramel Coffee, Filter Coffee, Vada",South Indian,150
Sanky's Burger House,Yes,No,4.3 /5,345,+91 9886738143,Hennur,Quick Bites,"Burgers, Fried Cheese, Cheesy Fries, Oreo Shake, Pulled Beef Burger, Beef Patty, Cheese Balls","Burger, Fast Food",300
Sunny Side Bistro,Yes,No,3.8 /5,365,+91 9916842131,Frazer Town,Cafe,"English Breakfast, Healthy Breakfast, Waffles, Chicken Sandwich, Pancakes, Eggs Benedict, Pork Sausage","Cafe, Continental",700
New Udupi Park Deluxe,No,No,3.6 /5,77,080 25430266,Hennur,Quick Bites,"Masala Dosa, Thali, Rice","South Indian, North Indian, Chinese",400
The Local,Yes,Yes,4.2/5,1198,080 49653495,Kalyan Nagar,"Pub, Casual Dining","Beer, Cocktails, Prawn Ghee Roast, Bbq Chicken Pizza, Chicken Nachos, Appam, Chicken Steak","Finger Food, Continental, Italian, Salad","1,400"
Float Brewery,No,Yes,4.3/5,419,080 33512989,Kalyan Nagar,"Microbrewery, Casual Dining","Pork Tonkatsu, Mocktails, Ginger Pork, Craft Beer, Wheat Beer, Falafel Burger, Brewed Beer",European,"1,800"
Brewklyn Microbrewery,Yes,Yes,4.5/5,2330,080 49653123,Kalyan Nagar,"Microbrewery, Casual Dining","Pizza, Beef Chilli, Craft Beer, Apple Crumble, Pork Chilli, Chips, Wheat Beer","American, Continental, Pizza","2,000"
Hoppipola,Yes,Yes,4.4/5,815,+91 9739118123,Kalyan Nagar,Lounge,"Mocktails, Masala Pizza, Salad, Cocktails, Wine, Chilli Chicken, Chicken Tikka","Continental, Fast Food, European","1,200"
Wanderers,No,Yes,4.0/5,661,080 25455225,Kalyan Nagar,"Microbrewery, Casual Dining","Pizza, Peri Peri Fries, Wheat Beer, Craft Beer, Chips, Stout, Chicken Burger","Continental, North Indian, South Indian, Italian","1,500"
Sherlock's Pub,Yes,Yes,3.8/5,361,00 08041235489,Kalyan Nagar,"Pub, Casual Dining","Chips, Cocktails, Veg Platter, Murgh Platter, Draught Beer, Potato Wedges, Pizza","Continental, North Indian, Chinese, Italian","1,300"
Bottoms Up Resto Bar,Yes,No,3.9/5,248,+91 9008003601,Kalyan Nagar,Bar,"Mocktails, Pizza, Cocktails, Beer, Pasta","Finger Food, Italian, Continental","1,200"
Fiddler's Green,No,Yes,3.9/5,74,080 25420706,Kalyan Nagar,"Casual Dining, Bar","Chicken Satay, Mocktails, Bruschettas","Continental, American, Indonesian, Asian, Thai","1,200"
Agent Jack's Bar,No,Yes,4.0/5,377,080 49653422,Kalyan Nagar,Bar,"Cocktails, Chicken Tikka Pizza, Chicken Popcorn, Sangria, Chilli Pork, Beer, Chicken Nachos","Continental, North Indian, Italian","1,300"
Sultans of Spice,Yes,Yes,4.5/5,3468,080 49652770,Koramangala 5th Block,Casual Dining,"Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh","North Indian, Mughlai, Salad","1,300"
Buff Buffet Buff,Yes,Yes,4.5/5,3156,080 45128765,Koramangala 5th Block,"Casual Dining, Bar","Egg Chilli, Butter Naan, Watermelon Juice, Chocolate Halwa, Fry Prawns, Mocktails, Salads","North Indian, Chinese, Continental, Thai, Salad","1,500"
The Black Pearl,No,Yes,4.7/5,10471,080 49652452,Koramangala 5th Block,"Casual Dining, Bar","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry","North Indian, European, Mediterranean","1,400"
XOOX Brewmill,No,Yes,4.4/5,1555,080 49652469,Koramangala 5th Block,"Microbrewery, Casual Dining","Cocktails, Apple Cider, Craft Beer, Burgers, Stout, Seafood Salad, Sabudana Vada","Modern Indian, European, Asian","2,000"
Boho,No,Yes,4.2/5,1741,080 49653567,Koramangala 5th Block,Casual Dining,"Barbecue Chicken Wings, Chilli Paneer, Cocktails, Chicken Steak, Sangria, Spicy Chicken, Pizza","Continental, Asian, American, North Indian, Desserts","1,200"
Foxtrot - House of Subculture,No,Yes,4.4/5,369,080 49652660,Koramangala 3rd Block,"Cafe, Lounge","Cocktails, Fish, Momos, Mocktails, Seafood Risotto, Pizza, Chicken Lollipop","Cafe, American, Asian, North Indian","1,000"
Asia Kitchen By Mainland China,Yes,Yes,4.9/5,2215,080 49652573,Koramangala 5th Block,"Casual Dining, Bar","Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup, Chocolate Roll","Asian, Chinese, Thai, Momos","1,500"
Barbeque Nation,No,Yes,4.7/5,3617,+91 8860216060,Koramangala 1st Block,Casual Dining,"Cocktails, Mutton Seekh, Tangdi Chicken, Mango Ice Cream, Biryani, Malai Kulfi, Fish","North Indian, European, Mediterranean, BBQ, Kebab","1,600"
Bonsouth,Yes,Yes,4.2/5,2620,080 49652934,Koramangala 5th Block,Casual Dining,"Coconut Payassam, Seafood Soup, Fish, Filter Kaapi, Tender Coconut Payasam, Mutton Curry, Mysore Masala Dosa","Chettinad, Andhra, Kerala","1,300"
Barleyz,No,No,3.8/5,4646,+91 8880128888,Koramangala 6th Block,"Lounge, Microbrewery","Tandoori Chicken, Fish Chilli, Cocktails, Chilli Chicken, Pizza, Craft Beer, Chaat","North Indian, Continental, Chinese","2,000"
Empire Restaurant,Yes,No,4.1/5,6914,080 45128675,Koramangala 5th Block,Casual Dining,"Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma","North Indian, Mughlai, South Indian, Chinese",750
Magnolia,Yes,Yes,4.1/5,673,080 41102222,Koramangala 3rd Block,Casual Dining,"Noodles, Pinacolada, Mocktails, Salad, Thai Green Curry, Spicy Crabmeat Soup, Clear Soup","Chinese, Thai, Asian",900
Hunan,No,Yes,4.3/5,2245,080 25520154,Koramangala 5th Block,Casual Dining,"Noodles, Chicken Momo, Momos, Lunch Buffet, Garlic Butter Noodle, Crab Soup, Jasmine Tea","Chinese, Thai, Momos","1,100"
Tangerine - Davanam Sarovar Portico Suites,Yes,Yes,4.0/5,150,080 49652825,Koramangala 2nd Block,Casual Dining,"Breakfast Buffet, Sushi, Cheesecake, Gulab Jamun, Lunch Buffet, Fish, Noodles","Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese","1,100"
The Flying Trapeze,No,Yes,0/5,0,080 49652426,Koramangala 5th Block,Lounge,Beef Nachos,"North Indian, Continental, Chinese","1,500"
Ministry of Food - Hilton Bangalore Embassy GolfLinks,No,Yes,4.2/5,468,080 49653157,Domlur,Fine Dining,"Chicken Curry, Jalebi, Pasta, Breakfast Buffet, Paratha, Fish, Mutton Sukha","North Indian, Asian, South Indian, Italian, European","3,000"
Savoury Restaurant,Yes,No,3.9/5,421,080 49994999,BTM,Casual Dining,"Shawarma, Bamboo Biryani, Chicken Shawarama, Chicken Grill, Chicken Kebab, Fish, Appam","Arabian, North Indian, Chinese, Fast Food",800
Atithi,Yes,Yes,3.9/5,224,+91 9538800665,HSR,Casual Dining,"Vegetable Biryani, Jalebi, Paneer Curry, Tandoori Paneer, Paneer Tikka, Gulab Jamun, Paratha","North Indian, Chinese, Street Food",800
Mr. Beans - Home Cafe,Yes,Yes,4.2/5,2714,080 49653320,Koramangala 3rd Block,Cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000"
Third Wave Coffee Roasters,No,No,4.4/5,1224,+91 7337684222,Koramangala 4th Block,Cafe,"Coffee, Hummus Platter, Granola Parfait, Hot Chocolate, Cappuccino, Waffles, Skillet Cookie","Cafe, Continental, Desserts",800
Dialogues,No,No,4.1/5,314,+91 8800946279,Koramangala 4th Block,Cafe,"Poha, Momos, Chai, Pasta, Tea, Pancakes, Chicken Sandwich","Cafe, Continental",600
Qube Cafe,Yes,No,4.2/5,168,+91 9535256633,Koramangala 4th Block,Cafe,"Pizza, Coffee, Burgers, Pasta, Tiramisu, Sandwiches, Tea","Cafe, Desserts",700
Terra Bites,Yes,No,4.1/5,65,+91 8043744044,Koramangala 4th Block,"Cafe, Casual Dining","Spaghetti, Hot Chocolate, Coffee, Tea","Cafe, Italian, Continental",700
Cafe Coffee Day The Lounge,Yes,No,3.6/5,76,+91 9071381498,Koramangala 4th Block,Cafe,"Fries, Nachos, Burgers","Cafe, Fast Food",650
Oregano Pizzeria,Yes,No,3.7/5,52,080 48664711,Koramangala 4th Block,Cafe,"Margherita Pizza, Cheesy Bites","Cafe, Italian, Pizza",450
Truffles,No,No,4.7/5,14690,080 49652818,Koramangala 5th Block,"Cafe, Casual Dining","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert","Cafe, American, Burger, Steak",900
Zee5 Loft,Yes,No,4.4/5,360,080 49653381,Koramangala 6th Block,Cafe,"Tomato Soup, Brownie Shake, Pizza, Salad, Fries, Chicken Bbq Wings, Pasta","Cafe, North Indian, Pizza, Sandwich, Salad",500
Blue Tokai Coffee Roasters,Yes,No,4.0/5,67,+91 9319970404,Koramangala 8th Block,Cafe,"Coffee, Potato Wedges","Cafe, Coffee",400
Sixth Avenue Cafe And Patisserie,No,No,4.4/5,168,+91 9020902096,Koramangala 5th Block,"Cafe, Dessert Parlor","Tea, Chocolate Bomb, Waffles, Mojito, Fries, Pasta Alfredo, Burgers","Cafe, Italian, Desserts",600
Bearfoot Cafe,Yes,No,4.2/5,174,+91 8904044405,Koramangala 6th Block,Cafe,"Cappuccino, Burgers, Fish, Pizza, Coffee, White Sauce Pasta, Fries",Cafe,600
YORK St.,Yes,No,4.4/5,946,+91 7624945998,Koramangala 5th Block,Cafe,"Beef Steak, Custard, Burgers, Beef Stroganoff, Salad, Sandwich, Sandwiches","Cafe, European, Continental",900
Roundup Cafe,Yes,Yes,4.2/5,493,080 49653438,Koramangala 5th Block,Cafe,"Mocktails, Salad, Coffee, Pizza, Meat Balls, Hot Chocolate, Pasta","Cafe, Continental, Beverages",800
Hungry Hippie,No,Yes,4.3/5,1469,080 49653231,Koramangala 5th Block,Cafe,"Butter Chicken Pizza, Lamb Burger, Chicken Bao, Vegetable Moussaka, Peri Chicken, Pasta, Pink Lemonade","Cafe, Continental, Italian, Burger",800
Market Table,No,Yes,4.5/5,548,080 49652848,Koramangala 5th Block,Cafe,"Salads, Healthy Breakfast, Quinoa Salad, Frittata, Pancakes, Smoothie Chocolate, Wheat Roll","Cafe, Continental, Mediterranean, Beverages",900
Bundar,No,No,4.1/5,2448,080 41425060,Koramangala 6th Block,Cafe,"Burgers, Cheese Burger, Mojito, Peri Peri Fries, Apple Pie, Tea, Peri Peri Chicken Wings","Cafe, Burger, Fast Food, Desserts",700
Cafe D'hide,Yes,Yes,4.2/5,872,+91 7204196666,Koramangala 5th Block,Cafe,"Pasta, Coffee, Buffalo Chicken Wings, Caesar Salad, Cheesy Fries, Mojito, Salads","Cafe, American, Continental, Italian",600
99 Pancakes,Yes,No,4.5/5,341,080 43729195,Koramangala 5th Block,"Dessert Parlor, Cafe","Pan Cake, Waffles, Nutella Pancakes","Desserts, Cafe",300
Waffle Magic,Yes,No,4.1/5,86,080 49652808,Koramangala 6th Block,Cafe,Waffles,"Cafe, Desserts",700
154 Breakfast Club,Yes,Yes,4.0/5,1513,080 25533133,Koramangala 3rd Block,Cafe,"Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette","Cafe, Continental",900
Fabindia Cafe,No,No,4.2/5,224,+91 9880182859,Koramangala 2nd Block,Cafe,"Paneer Roll, Masala Chai, Masala Tea, Aloo Paratha, Chaat, Brownie Chocolate, Methi Paratha","Cafe, Street Food",200
Fresh Pressery Cafe,Yes,No,4.1/5,138,080 41724989,Koramangala 5th Block,Cafe,"Salads, Chicken Sandwich, Brownie, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast","Cafe, Healthy Food, Salad, Beverages, Desserts","1,200"
Vitamin Palace,No,No,4.1/5,172,080 25520201,Koramangala 7th Block,Cafe,"Watermelon Juice, Burgers, Pasta, Faluda, Fruit Salad, Coffee, Sandwich","Cafe, Beverages, Healthy Food, Juices",650
The Yogisthaan Cafe,Yes,No,4.1/5,62,+91 7411160606,Koramangala 2nd Block,Cafe,"Paratha, Chai, Poha, Quinoa Burger","Cafe, Healthy Food, Salad, Beverages",600
Kalmane Koffees,No,No,4.1/5,367,+91 9972900464,Koramangala 7th Block,Cafe,"Filter Coffee, Brownie Chocolate, Hot Chocolate, Hot Coffee, Chips, Cafe Mocha, Walnut Brownie",Cafe,350
Lakeview Milkbar,No,No,3.8/5,289,080 25715455,Koramangala 8th Block,"Dessert Parlor, Cafe","Burgers, Pizza, Chocolate Fudge, Caramel Cheesecake, Vanilla Ice Cream, Hot Chocolate, Thick Shakes","Desserts, Cafe, Fast Food",500
WTF,Yes,No,4.1/5,93,080 43758178,Koramangala 5th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake","Cafe, Continental",600
The Chocolate Room,No,No,3.8/5,63,080 41520999,Koramangala 7th Block,"Cafe, Bakery","Waffles, Burgers, Hot Chocolate, Chocolate Avalanche, Fries, Brownie","Cafe, Desserts, Bakery",600
Entropy Cafe,Yes,No,4.1/5,506,+91 9886707141,Koramangala 6th Block,Cafe,"Nachos, Biryani, Chaat, Pancakes, Pizza, Pasta, Burgers","Cafe, Chinese, Pizza, North Indian, Burger",600
Billionaires Cafe,No,No,3.8/5,47,+91 9845553555,Koramangala 5th Block,Cafe,Friendly Staff,"Cafe, Italian",600
Dhuaan,No,No,4.2/5,130,+91 7406434444,Koramangala 5th Block,Cafe,"Paneer Pizza, Onion Rings, Oreo Shake, Peri Peri Chicken Pizza, Pasta","Cafe, Continental",800
Tattva Cafe,No,No,2.8/5,227,080 41262992,Koramangala 6th Block,Cafe,"Tea, Masala Chai, Filter Coffee, Sandwich, Burgers, Orange Juice, Poha",Cafe,450
Loca Moca,No,No,3.7/5,46,080 65650105,Koramangala 1st Block,Cafe,"Coffee, Hazelnut Cappuccino, Chicken Keema Roll, Chicken Sandwich, Grilled Chicken Wrap","Cafe, Continental",600
Chaai Resto,No,No,3.6/5,54,+91 9581333567,Koramangala 6th Block,"Beverage Shop, Quick Bites","Ginger Tea, Poha, Irani Chai, Chaai, Sandwich, Thick Shakes","Tea, Beverages, Fast Food",250
Tella Tales,Yes,No,4.2/5,414,+91 8792110657,Koramangala 5th Block,Cafe,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries","Cafe, Desserts, Beverages",700
Dreams Cafe - All Day English Food St.,Yes,No,3.8/5,231,+91 8553617173,Koramangala 1st Block,Cafe,"English Breakfast, Coffee, Burgers, Fish, Omelette, Sandwiches, Chicken Burger","Cafe, Continental, Burger",600
Here & Now,No,No,4.6/5,1587,+91 9108790611,HSR,Cafe,"Burgers, Waffles, Pancakes, Sunday Morning Breakfast, Sandwich, Pasta, Chocolate Milkshake","Cafe, American, Burger, Beverages",750
Mudpipe Cafe,Yes,Yes,4.5/5,1880,+91 9631220007,BTM,Cafe,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger",900
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.3/5,1101,+91 8041697171,HSR,Cafe,"Pizza, Pancakes, Pasta, Burgers, Buffalo Wings, Peri Peri Chicken Steak, Latte","Cafe, Continental, Pizza, Salad",700
Blk Plus Wht,No,No,4.3/5,128,080 49653448,HSR,"Casual Dining, Cafe","Noodles, Cocktails, Nasi Goreng, Apple Fritters, Nalli Nihari, Panna Cotta, Vanilla Ice Cream","Asian, Thai, North Indian",800
Bakers Town,Yes,No,3.6/5,42,+91 7411103666,BTM,Cafe,"Fries, Pasta, Chicken Burger, Sandwich, Burgers, Monster Burger","Cafe, Continental, Fast Food",600
Foodiesthan,Yes,No,3.7/5,59,+91 9845055369,HSR,Cafe,"Masala Chai, Garlic Bread, Oreo Shake","Cafe, Fast Food, North Indian",600
De Street Cafe,No,No,3.6/5,61,+91 8048534323,BTM,Cafe,"Pasta, Chicken Steak, Burgers, Cold Coffee, Shawarma, Honey Chilli Fries",Cafe,500
Fish Chain,Yes,No,4.0/5,58,080 43334333,HSR,"Takeaway, Delivery",Mustard Fish Curry,"Seafood, BBQ, Biryani",250
Sai Abhiruchi,Yes,No,3.8/5,339,080 49653037,BTM,Casual Dining,"Dum Biryani, Dal Fry, Paneer Biryani","Andhra, North Indian, Biryani",800
FreshMenu,Yes,No,3.9/5,584,+91 9019245000,Koramangala,Delivery,"Salads, Burgers, Sandwich, Pasta, Pizza, Rice Bowls, Biryani","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450
The Paratha Company,Yes,No,4.3/5,169,+91 8340766542,HSR,Delivery,"Rice Kheer, Dhaniya Chutney, Rabri, Aloo Paratha, Chole, Cheese Paneer Paratha, Dal Makhani",North Indian,400
Capsicum Family Restaurant,Yes,No,3.8/5,256,080 49652486,BTM,Casual Dining,Mutton Biryani,"Biryani, North Indian",800
Shiv Shakthi,Yes,No,4.0/5,176,+91 9008427624,HSR,Quick Bites,"Poha, Samosa, Jalebi, Kachori","Street Food, North Indian",100
La Pino'z Pizza,Yes,No,4.1/5,499,080 49652662,Koramangala 4th Block,Quick Bites,"Fries, White Sauce Pasta, Monster Pizza, Cheesy Garlic Bread, Cheesy Pizza, Margherita Pizza","Italian, Pizza, Beverages",600
Shanmukha,Yes,No,4.0/5,992,080 49653004,HSR,Casual Dining,"Onion Kulcha, Hyderabadi Chicken Dum Biryani, Butter Naan, Veg Seekh Kebab, Mushroom Manchurian, Wings, Mutton Biryani","Biryani, Andhra, North Indian, Chinese",800
Gogula's Sweets & Chats,Yes,No,4.0/5,206,+91 9649640353,BTM,"Sweet Shop, Quick Bites","Chole, Kulfi, Kachori, Samosa, Chaat, Pav Bhaji, Barfi","Mithai, Street Food, Fast Food",200
Sardarji Londonwaley,Yes,No,4.1/5,319,+91 9599698659,Koramangala 1st Block,Delivery,"Dal Makhani, Kulcha, Butter Chicken, Makke Ki Roti, Garlic Naan, Tandoori Chicken, Palak Paneer",North Indian,450
Leon Grill,Yes,No,4.3/5,168,080 41201051,Koramangala 5th Block,Quick Bites,"Burgers, Peri Peri Chicken, Grilled Lamb Burger, Chicken Burger, French Fries","Burger, Fast Food",500
Chaat Street,Yes,No,4.0/5,293,080 49652608,Koramangala 6th Block,Kiosk,"Pav Bhaji, Panipuri, Raj Kachori, Papdi Chaat, Samosa Chaat, Bhel Puri, Vada Pav","Street Food, North Indian",250
XO Belgian Waffle,Yes,No,4.5/5,558,+91 9900332623,BTM,Dessert Parlor,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo","Desserts, Beverages",400
Truly Punjab,Yes,No,4.2/5,385,080 49652871,Koramangala 1st Block,"Takeaway, Delivery","Raita, Sarson Ka Saag, Paneer Tikka Masala, Paratha, Sarso Da Saag, Chole, Dal Fry","North Indian, Biryani",500
